题目,作者,期刊,发表时间,摘要,关键词
坚持预防为主  以全民健康助力全面小康,,中华疾病控制杂志(2020年10期),2020/10/10,"身体健康是立身之本,人民健康是立国之基。预防是最经济最有效的健康策略。本文回顾了我国传染病防控和免疫规划工作,贫困地区寄生虫病、地方病防治工作,慢性病防控和精神卫生工作,环境卫生和学校卫生工作等取得的成效,并提出前景展望。构建强大的公共卫生体系,关键是坚持预防为主的卫生健康工作方针,改革完善疾病预防控制体系,坚持常备不懈,防患于未然,为实现""两个一百年""奋斗目标、实现中华民族伟大复兴的中国梦打下坚实的健康基础。",预防与控制;进展;成就;公共卫生;
县域医共体如何开展公共卫生工作——以慈溪市为例,吴金华,卫生经济研究(2020年10期),2020/9/27,"以慈溪市为例,探讨县域医共体的公共卫生工作情况。结果显示:慈溪市县域医共体公共卫生工作构架已基本形成,总体运行平稳,但总院与分院功能定位差异导致发展方向不一致,存在总院对公共卫生管理不到位的问题,分院担忧公共卫生工作弱化。因此需进一步探索建立符合医改方向的医共体公共卫生运行新机制。",县域医共体;公共卫生;基层卫生;
“十四五”时期人口相关经济社会政策的思考与建议,武汉大学“十四五”时期人口相关政策研究课题组,中国人口·资源与环境(2020年06期),2020/7/23 14:22,"人口是一个国家国力的重要支撑,也是国家战略规划最重要的基数。""十四五""时期是中国调整优化人口相关政策、巩固壮大经济社会高质量发展新动能的重要阶段。本文对""十四五""规划人口及家庭相关经济社会政策提出五条建议:一是警惕""超低生育陷阱"",实施生、育、教多方面的政策""组合拳"",鼓励更多人生育二孩,让生育决策回归家庭,着力建设""生育友好""型社会。二是加强多支柱的养老保障,使家庭成为养老第一支柱,鼓励更多市场主体提供高质量养老产品和服务,强化政府兜底保障与制度供给职能,让全体老年人""老有所依"",加大老年人力资源开发与就业保障,让更多老年人""老有所为""。三是完善以人为核心的城镇化,推进""居住证+基本公共服务和户籍政策(差别化落户)改革""的农民工市民化""二维路径"",完善农民工市民化成本分摊机制,让迁徙决策回归家庭,鼓励家庭化迁移。坚持优化城市群与培育新生中小城市""两条腿""走路,着力使未来城市总数达到一千座,推动中国城市体系的规模结构与空间分布不断优化。四是提高人口质量,改革完善学校教育与职业培训体系,加速""人口大国""向""人力资源强国""和""人才强国""转变,优化技术技能型人才与高端科研人才的培养模式,建立与第四次工业革命需求相协调适应的劳动力供给结构,推进劳动力要素市场改革,实施中等收入群体倍增计划。五是推进公共卫生体系的硬件与软件建设,解决疫情暴露的公共卫生治理""赤字"",健全数字化公共卫生基础设施体系与公共卫生科研攻关体系,新冠病毒肺炎疫苗和药物研制应充分考虑人口性别差异,积极探索以家庭为单位投保的医保制度改革。家庭是人口相关经济社会现象与问题的微观基础,本文认为还要进一步完善支持现代家庭发展的政策体系,扩展与延续家庭代际支持功能。",“十四五”规划;人口老龄化;人口数量与质量;城镇化;人口健康;
政府提供公共服务受到了资源诅咒吗,熊若愚;吴俊培,财贸经济(2020年06期),2020/6/9 13:09,"本文研究了自然资源与政府提供公共服务的关系。首先,构建了一个公共部门与私人部门净收益最大化状态下的公共服务供给决定模型。政府对市场干预过度时,自然资源越丰富,政府更有可能提供低水平的公共服务;政府对市场干预适当时,自然资源越丰富,政府更有可能提供充分的公共服务。该理论为进一步的实证研究留下空间。随后,运用我国2008—2014年的省级数据分析了自然资源与政府提供基本公共服务的关系。自然资源越丰富,公共教育服务和医疗卫生服务的提供水平越低;社会保障服务的供给则不受影响。自然资源与基本公共服务供给的反向关系在中西部地区较强,而在东部地区较弱。自然资源越丰富,政府税收努力越不足、当地对高技能劳动力的需求越低,进而不利于公共教育服务和医疗卫生服务的充分供给。不过,改善政府与市场关系、发展现代服务业、培育非国有经济,则有助于减缓自然资源与基本公共服务供给的反向关系。",公共服务;基本公共服务;自然资源;资源诅咒;税收努力;
社区医养结合模式整合构建探析,李从容;李媛媛;刘凡,中国卫生经济(2019年07期),2019/7/5,"以家庭医生责任制为基础,以服务对象、服务内容和服务主体为构成要素,梳理出家庭医生、家庭病床、社区照料三种社区医养结合模式。通过对上述不同模式相互作用的分析,整合上述社区医养结合模式,构建社区医养结合服务体系,并详细阐述其运作机制,进而从制度、服务及组织层面提出对策建议,以期社区医养结合能够普惠大众,并得到长足发展。",社区卫生服务;家庭医生;医养结合;模式整合;
上海市基层医疗卫生服务现状分析,汤真清;李潇骁;钟姮;万和平;秦彦;刘静静;王玲;何江江;康琦,中国卫生资源(2018年05期),2018/9/20 12:00,"目的了解上海市基层医疗卫生机构医疗卫生服务状况,发现存在的问题,并提出改善建议。方法收集2015年度上海市社区卫生服务综合评价调查数据中的医疗卫生指标数据,并进行描述性分析。结果上海市各项医疗卫生指标控制较好,基本医疗服务类指标均达到评审标准,健康管理类指标达标情况相对较差,区域之间存在发展不平衡。结论建议加强组织领导,优化资源配置,推进信息化建设。",医疗卫生服务;现状分析;基层医疗卫生机构;
进一步深化湖北省健康管理改革的思考,杨蓓;黄希宝;宋涛,医学与社会(2018年05期),2018/5/10,"2013年,湖北省启动了健康管理试点改革,从理论和实践开展了多个层面的广泛探索。随着改革的深化,出现了健康管理工作分散化、碎片化等方面的问题。建议政府进一步重视健康管理工作,强化顶层设计,推进健康管理的研究与创新,多渠道筹集资金,加强与现有工作的衔接,强化学习、交流和培训机制;通过将健康融入所有政策的方式推进全社会的健康管理,整合卫生内部资源,在微观上发展健康管理技术,探索健康管理新政策和内在的动力机制、运行机制,全面推进湖北省健康管理事业的发展。",健康管理;深化改革;湖北;
乡镇卫生院定项补偿政策研究,徐杰,卫生经济研究(2017年08期),2017/7/31 16:30,"通过对浙江、青海、安徽三省30个县(市、区)的资料收集和现场调研,分析当前乡镇卫生院定项补偿政策的运行状况,明晰了人员经费、基本公共卫生经费、基本建设与设备购置经费的核定问题,并就定项补偿政策的完善和实施提出若干建议。",乡镇卫生院;定项补偿;
可及性的概念、测度及影响因素研究:文献综述,代佳欣,学习与实践(2017年04期),2017/4/15,"近年来,""可及性""一词频繁出现在基本公共服务的政策文本中,显示出学界研究基本公共服务可及问题十分必要。然而迄今为止,我国学界尚未出现一篇系统回顾可及性研究的文献,梳理该领域的核心研究问题与总体进展,为后续研究作好基础性理论知识的铺垫。可及性概念经历了从产生、完善到批判性发展的阶段,初步形成了""服务使用""和""顾客与系统适配度""两种主流观点。实证测度多针对社会中的脆弱性群体,构成维度因依据不同概念界定方式而有所差别,所采用的工具为构建数学模型与指标体系、问卷调查与信息通讯技术等。可及性产生于供需系统形成适当性搭配的过程,既有研究也重点从""供给""和""需求""的理论视角探讨影响可及性的基本因素。囿于我国学者开展可及性研究是在西方公共医疗卫生可及性研究的台本下进行的,因而在研究对象与视域、概念辨析、理论框架、测度工具等方面仍存改进空间。",可及性;基本公共服务;文献述评;
公共卫生资源的分配正义:以共享发展为中心的考察,陈第华,探索(2016年03期),2016/6/15,"公共卫生资源作为个体健康的支撑,其分配正义与否直接关系着人的生存尊严。当前,公共卫生资源投入明显增加,但分配不均局面并未根本改变,这削弱了基本医疗卫生服务的公益性,加剧了弱势群体的被剥夺感,也阻碍了民众共享发展成果。实现公共卫生资源分配正义,让民众共享发展,政府必须承担对民众的健康义务,调动多元主体的积极性,坚持基本医疗卫生服务均等化和特殊照顾弱势群体相结合的原则,取消医疗特权,拉近不同群体公共卫生资源的可及性差距。",公共卫生资源;基本医疗卫生服务;分配正义;共享发展;生存尊严;
